"Flavor";"Single_Percentage";"Rate";"Cost";"Volume";"Note"
"7Leaves Ultimate (FA)";;;;0.00;""
"Acetyl Pyrazine 5% (TPA)";;;;;""
"Almond (FA)";;;;0.00;""
"Almond (TPA)";;;;0.00;""
"Am4A (Inawera)";;;;0.00;""
"Anise (FA)";;;;;""
"Apricot (TPA)";;;;0.00;""
"Banana Cream (LA)";;;;0.00;""
"Bavarian Cream (FW)";;;;0.00;""
"Bavarian Cream (TPA)";;;;;""
"Bergamot (FA)";;;;;""
"Berry (Crunch) Cereal (TPA)";;;;;""
"Bilberry (FA)";;;;0.00;""
"Biscuit (Inawera)";;;;;""
"Bitter Wizard (FA)";;;;;""
"Black Currant (TPA)";;;;;""
"Black Fire (FA)";;;;;""
"Black Honey (TPA)";;;;0.00;""
"Black mile (FE)";;;;0.00;""
"Black Tea (TPA)";;;;0.00;""
"Blackcurrant (FA)";;;;;""
"Blackcurrant (Inawera)";;;;;""
"Blueberry Candy (TPA)";;;;0.00;""
"Blueberry Extra (TPA)";;;;0.00;""
"Boysenberry (Flavorah)";;;;0.00;""
"Branded 555 Tobacco (FW)";;;;0.00;""
"Brandy (FA)";;;;;""
"Brown Sugar (TPA)";;;;;""
"Burley (FA)";;;;0.00;""
"Butter Cream (Cap)";;;;;""
"Butterscotch (Flavorah)";;;;0.00;""
"Cactus (Inawera)";;;;0.00;""
"Cake (Yellow) (FW)";;;;;""
"Cake Batter (Cap)";;;;;""
"Captain (FE)";;;;0.00;""
"Caramel (FA)";;;;;""
"Cardamom (FA)";;;;;""
"Catalan Cream (FA)";;;;0.00;""
"Chai Tea (TPA)";;;;;""
"Cheesecake New York Style (LA)";;;;;""
"Cherry Blossom (TPA)";;;;0.00;""
"Chocolate  (TPA)";;;;0.00;""
"Chocolate Glazed Doughnut (Cap)";;;;0.00;""
"Cinnamon Crunch (Flavorah)";;;;0.00;""
"Cinnamon Danish (TPA)";;;;0.00;""
"Cinnamon Danish Swirl (Cap)";;;;0.00;""
"Clove (Flavorah)";;;;0.00;""
"Coconut (FA)";;;;;""
"Coconut (Flavorah)";;;;0.00;""
"Coconut Extra (TPA)";;;;;""
"Cookie (Biscotto) (FA)";;;;;""
"Cotton Candy (10% EM/Ethyl Maltol) (TPA)";;;;;""
"Cream Cheese Icing (LA)";;;;0.00;""
"Cream Fresh (FA)";;;;;""
"Creamy Yogurt (Cap)";;;;0.00;""
"Crunch Cereal (Flavorah)";;;;0.00;""
"Crunch Cereal (FW)";;;;0.00;""
"Cuban Supreme (FA)";;;;0.00;""
"Cucumber (Cap)";;;;;""
"Cured Tobacco (Flavorah)";;;;0.00;""
"Custard (FA)";;;;0.00;""
"Dairy Milk (TPA)";;;;0.00;""
"Dark Bean (Coffee Espresso) (FA)";;;;;""
"Dark Vapure (FA)";;;;0.00;""
"Desert Ship (FA)";;;;0.00;""
"Desert Ship (Flavors Express)";;;;0.00;""
"DK Tobacco II (TPA)";;;;0.00;""
"Dragon Fruit (Inawera)";;;;;""
"Dragonfruit (TPA)";;;;;""
"Dulce de Leche (TPA)";;;;0.00;""
"DX Banana Cream (TPA)";;;;;""
"Ethyl Vanillin 10% (TPA)";;;;0.00;""
"Forest Mix (Forest Fruit) (FA)";;;;0.00;""
"French Vanilla (Cap)";;;;0.00;""
"Fruit Circles (TPA)";;;;;""
"Fuji Apple (FA)";;;;;""
"Glazed Doughnut (Cap)";;;;0.00;""
"Glory (FA)";;;;0.00;""
"Golden Virginia (FE)";;;;0.00;""
"Graham Cracker (Clear) (TPA)";;;;;""
"Graham Cracker v1 (Cap)";;;;;""
"Grape Concord (FA)";;;;0.00;""
"Grape Juice (TPA)";;;;0.00;""
"Grapes (Inawera)";;;;0.00;""
"Greek Yogurt (TPA)";;;;;""
"Green Orange (Hangsen)";;;;0.00;""
"Green Tea (FA)";;;;0.00;""
"Green Tea (TPA)";;;;;""
"Guava (LA)";;;;0.00;""
"Gummi Bear (FW)";;;;0.00;""
"Gummy Candy (TPA)";;;;0.00;""
"Hazel Grove (Hazelnut) (FA)";;;;;""
"Hazelnut (FW)";;;;;""
"Hibiscus (TPA)";;;;0.00;""
"Holiday Spice (TPA)";;;;0.00;""
"Honey (FA)";;;;0.00;""
"Honey (Inawera)";;;;0.00;""
"Horchata (Cap)";;;;0.00;""
"Hpno Type (TPA)";;;;0.00;""
"Huckleberry (TPA)";;;;0.00;""
"Hypnotic Myst (FA)";;;;0.00;""
"Inport Beach tobacco (FW)";;;;0.00;""
"Italian Lemon Sicily (Cap)";;;;0.00;""
"Jamaican Rum (TPA)";;;;0.00;""
"Jasmine (FA)";;;;;""
"Joy (FA)";;;;;""
"Juicy Orange (Cap)";;;;0.00;""
"Kentucky Bourbon (TPA)";;;;0.00;""
"Key Lime (TPA)";;;;;""
"Kiwi Double (TPA)";;;;0.00;""
"Koolada 10% (TPA)";;;;;""
"Latakia (FA)";;;;0.00;""
"Lemon (FE)";;;;0.00;""
"Lemon Meringue Pie (Cap)";;;;0.00;""
"Lemon Shisha (Inawera)";;;;0.00;""
"Lemon Sicily (FA)";;;;0.00;""
"Lemonade (Natural) (FW)";;;;0.00;""
"Lime Tahity (Cold Pressed) (FA)";;;;0.00;""
"Liquid Amber (FA)";;;;;""
"Little Space Drop (Inawera)";;;;0.00;""
"Lychee (Flavorah)";;;;0.00;""
"Macadamia Nut - (Silver Cloud Estates)";;;;0.00;""
"Madagascar Bourbon Vanilla (TPA)";;;;;""
"Malted Milk (TPA)";;;;;""
"Mango (Inawera)";;;;0.00;""
"Marshmallow (Cap)";;;;0.00;""
"Marshmallow (FA)";;;;0.00;""
"Marshmallow (FW)";;;;0.00;""
"Marshmallow (LA)";;;;0.00;""
"Marshmallow (TPA)";;;;;""
"Mary Jane (TPA)";;;;0.00;""
"Marzipan (FA)";;;;0.00;""
"Maxx Blend (FA)";;;;0.00;""
"Menthol (Natural) (FW)";;;;0.00;""
"Meringue (FA)";;;;;""
"MTS Vape Wizard (FA)";;;;0.00;""
"New York Cheesecake (Cap)";;;;;""
"NF Japanese Plum";;;;0.00;""
"Nut Mix (FA)";;;;0.00;""
"Nutty Princess (Inawera)";;;;0.00;""
"Oak Wood (FA)";;;;;""
"Orange (FA)";;;;0.00;""
"Orange - Flavors Express";;;;0.00;""
"Orange Cream (TPA)";;;;;""
"orange flavor express";;;;0.00;""
"Oregano (FA) ";;;;0.00;""
"Pandoro (FA)";;;;0.00;""
"Peach (Inawera)";;;;0.00;""
"Peach (Juicy) (TPA)";;;;;""
"Peanut Butter (Flavorah)";;;;0.00;""
"Peanut Butter (TPA)";;;;;""
"Pear (TPA)";;;;;""
"Pepper Soda (Hangsen)";;;;0.00;""
"Peppermint (TPA)";;;;0.00;""
"Pie Crust (TPA)";;;;0.00;""
"Pineapple (Inawera)";;;;0.00;""
"Pineapple (TPA)";;;;0.00;""
"Pitaya";;;;;""
"Pomegranate (TPA)";;;;0.00;""
"Pumpkin (TPA)";;;;0.00;""
"Pumpkin Spice (TPA)";;;;0.00;""
"Quince (TPA)";;;;0.00;""
"Raspberry (Flavorah)";;;;0.00;""
"Raspberry (Malina Koncentrat) (Inawera)";;;;0.00;""
"Red Touch (Strawberry) (FA)";;;;0.00;""
"Rhubarb (Inawera)";;;;0.00;""
"Rice Crunchies (TPA)";;;;0.00;""
"Rice Krispies Type (FW)";;;;0.00;""
"Rich Cinnamon (Flavorah)";;;;0.00;""
"Ripe Banana (TPA)";;;;;""
"RY4 (Tobacco Express)";;;;0.00;""
"RY4 Double (TPA)";;;;;""
"Saffron (FA)";;;;;""
"Sassafras (LA)";;;;0.00;""
"Sesame (Inawera)";;;;0.00;""
"Shirley Temple (FW)";;;;0.00;""
"Smoked Plum (Inawera)";;;;0.00;""
"Smooth (TPA)";;;;;""
"Sour (TPA)";;;;;""
"Spearmint (TPA)";;;;0.00;""
"Strawberry (Flavorah)";;;;0.00;""
"Strawberry (Ripe) (TPA)";;;;;""
"Strawberry (TPA)";;;;;""
"Sugar Cookie (Cap)";;;;0.00;""
"Swedish Fish (FW)";;;;0.00;""
"Swedish Gummy (TPA)";;;;0.00;""
"Sweet and Tart (TPA)";;;;;""
"Sweet Cream (Cap)";;;;;""
"Sweet Cream (TPA)";;;;;""
"Sweet Strawberry (Cap)";;;;;""
"Sweet Tangerine (Cap)";;;;;""
"Sweet Woodruff (TPA)";;;;0.00;""
"Sweetener (Ethyl Maltol/EM)";;;;;""
"Sweetener (Sucralose) (TPA)";;;;;""
"T5 (555) (Hangsen)";;;;0.00;""
"Toasted Almond (TPA)";;;;0.00;""
"Toasted Marshmallow (TPA)";;;;;""
"Tobacco Absolute 50% (ECX)";;;;0.00;""
"Tobacco DNB (Inawera)";;;;0.00;""
"Torrone (Nougat) (FA)";;;;0.00;""
"Two Apples (Inawera)";;;;;""
"Unicorn Vomit (FW)";;;;0.00;""
"Vanilla Bean Ice Cream (Cap)";;;;0.00;""
"Vanilla Bean Ice Cream (TPA)";;;;;""
"Vanilla Butternut (LA)";;;;0.00;""
"Vanilla Cupcake (Cap)";;;;0.00;""
"Vanilla Custard (Flavorah)";;;;0.00;""
"Vanilla Custard v1 (Cap)";;;;;""
"Vanilla Custard v2 (Cap)";;;;;""
"Vanilla Swirl (TPA)";;;;;""
"Vanilla Whipped Cream (Cap)";;;;0.00;""
"Vienna Cream (FA)";;;;;""
"Virginia Tobacco (Flavorah)";;;;0.00;""
"Whipped Cream (TPA)";;;;0.00;""
"Whisky (FA)";;;;;""
"White Peach (MF)";;;;0.00;""
"White Wine (FW)";;;;;""
"Wine Champagne (FA)";;;;;""
"Wintergreen (TPA)";;;;0.00;""
